method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution,slurm_array_id
no_warm_start_dense_passing,"[100, 200, 200, 1]",12441,54,0.8,0.1167922680274775,0.1175021007657051,355.97611021995544,600.662805557251,585,600,0.2586670517921448,
no_warm_start_dense_passing,"[100, 200, 200, 1]",6421,54,0.9,0.0011603280436247,0.2033811956644058,7.316169261932373,605.0010039806366,20539,600,0.2586670517921448,
no_warm_start_dense_passing,"[100, 200, 200, 1]",3411,54,0.95,0.0011603280436247,0.0230181161314249,0.6214358806610107,1.4689664840698242,1,600,0.2586670517921448,
no_warm_start_dense_passing,"[100, 200, 200, 1]",702,54,0.995,0.0011603280436247,0.0136127537116408,0.8179171085357666,2.0158534049987797,4,600,0.2586670517921448,
no_warm_start_dense_passing,"[100, 200, 200, 1]",461,54,0.999,0.0011603280436247,0.0163467843085527,0.8141336441040039,1.6231698989868164,2,600,0.2586670517921448,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",10201,50,0.0,0.2349180817512836,0.2349180877208709,570.2846374511719,600.5026440620422,197,600,0.2139576375484466,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",7186,50,0.3,0.2535232559194217,0.2327091097831726,420.5550782680512,600.6247816085815,924,600,0.2139576375484466,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",5176,50,0.5,0.2330358002319106,0.2217357903718948,355.91907715797424,600.5809855461121,1689,600,0.2139576375484466,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",2161,50,0.8,0.1462333967506716,0.1802035272121429,275.53402876853943,600.4127991199493,3476,600,0.2139576375484466,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",1156,50,0.9,0.1248626343770808,0.1433938592672348,0.3122479915618896,0.3134548664093017,1,600,0.2139576375484466,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",653,50,0.95,0.1280432424239405,0.1433938592672348,0.3115873336791992,0.3133985996246338,1,600,0.2139576375484466,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",201,50,0.995,0.1222411543130874,0.1433938592672348,0.3125195503234863,0.3141872882843017,1,600,0.2139576375484466,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",161,50,0.999,0.1222411543130874,0.1433938592672348,0.3165071010589599,0.3187861442565918,1,600,0.2139576375484466,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",10201,51,0.0,0.0429035221539238,0.0429035164415836,551.9795813560486,600.4550879001617,288,600,-0.02963088452816,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",7186,51,0.3,0.0318962693412487,0.0420232526957988,416.8002781867981,600.5076200962067,607,600,-0.02963088452816,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",5176,51,0.5,-0.0190198025831207,-0.0042170025408267,294.1218335628509,600.5160710811615,1718,600,-0.02963088452816,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",2161,51,0.8,-0.0829063613559984,-0.0345382243394851,292.3811495304108,602.9371643066406,50310,600,-0.02963088452816,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",1156,51,0.9,-0.0550929375013357,-0.0796898230910301,0.2097573280334472,0.2111332416534423,1,600,-0.02963088452816,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",653,51,0.95,-0.0647348350466468,-0.0796898230910301,0.2113914489746093,0.2130393981933593,1,600,-0.02963088452816,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",201,51,0.995,-0.042765986174345,-0.0796898230910301,0.2220098972320556,0.2243275642395019,1,600,-0.02963088452816,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",161,51,0.999,-0.042765986174345,-0.0796898230910301,0.2207677364349365,0.2226526737213134,1,600,-0.02963088452816,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",10201,52,0.0,0.0709207961637454,0.0709207952022552,585.1530838012695,600.5885665416718,236,600,0.0249042157083749,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",7186,52,0.3,0.0931010327993605,0.068325825035572,581.6498553752899,600.4080107212067,678,600,0.0249042157083749,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",5176,52,0.5,0.0760179591877643,0.0377493202686309,107.7334098815918,600.4252188205719,1120,600,0.0249042157083749,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",2161,52,0.8,-0.0123884940807911,0.0019653122872114,237.5341775417328,601.1210660934448,2865,600,0.0249042157083749,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",1156,52,0.9,-0.0447584061215179,-0.0593108311295509,0.488776683807373,0.4908528327941894,1,600,0.0249042157083749,
