method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution,slurm_array_id
no_warm_start_dense_passing,"[10000, 50, 50, 50, 50, 1]",507751,54,0.0,-0.0676325929249673,-0.0676325932145118,9.949100494384766,600.8213613033295,1,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 100, 1]",1030501,50,0.0,-0.0419243324263959,-0.0419243313372135,33.385661602020264,602.2319600582123,1,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 100, 1]",1030501,51,0.0,-0.0423154449620653,-0.0423154421150684,78.32110691070557,603.87220454216,1,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 100, 1]",1030501,52,0.0,0.0091449924280552,0.0091449487954378,38.31311750411987,602.9340252876282,2,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 100, 1]",1030501,53,0.0,0.0869553837201262,0.0869553834199905,31.310882091522217,602.9656374454498,1,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 100, 1]",1030501,54,0.0,-0.054603989658524,-0.0546039938926696,30.951676845550537,601.9290838241577,1,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 200, 200, 1]",2121001,50,0.0,0.0413888642560265,0.0413888692855834,22.5814106464386,602.3740229606628,1,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 200, 200, 1]",2121001,51,0.0,-inf,-inf,,602.2971775531769,0,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 200, 200, 1]",2121001,52,0.0,-inf,-inf,,601.9645290374756,0,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 200, 200, 1]",2121001,53,0.0,0.0058280639629046,0.0058280667290091,29.373295783996586,603.0429608821869,1,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 200, 200, 1]",2121001,54,0.0,-0.0474292907539457,-0.0474292933940887,35.755040884017944,603.4213478565216,2,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 50, 50, 50, 1]",510301,50,0.0,-inf,-inf,,600.823882818222,0,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 50, 50, 50, 1]",510301,51,0.0,-inf,-inf,,601.1484375,0,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 50, 50, 50, 1]",510301,52,0.0,-inf,-inf,,600.86883020401,0,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 50, 50, 50, 1]",510301,53,0.0,-inf,-inf,,600.9443829059601,0,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 50, 50, 50, 1]",510301,54,0.0,-inf,-inf,,600.8360137939453,0,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 100, 100, 1]",1040601,50,0.0,-inf,-inf,,601.782309293747,0,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 100, 100, 1]",1040601,51,0.0,-inf,-inf,,601.1591548919678,0,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 100, 100, 1]",1040601,52,0.0,-inf,-inf,,601.6373963356018,0,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 100, 100, 1]",1040601,53,0.0,-inf,-inf,,601.5479636192322,0,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 100, 100, 1]",1040601,54,0.0,-inf,-inf,,601.6356360912323,0,600,0,
